CS_SQUARE_ID_ALL,ITE_LAND_CLASS_2007,ITE_LAND_CLASS_NUM_2007,COUNTRY,COUNTY,ENV_ZONE,*ITE Land Classes: https://doi.org/10.5285/5f0605e4-aa2a-48ab-b47c-bf5510823e8f
HYBIGV,17w1,17,WAL,Clwyd,Uplands (Wales),*note inclusion of a survey square in this list does not necessarily indicate data is available in every survey year
CRIEFB,5w,41,WAL,Clwyd,Lowlands (Wales),
HYILAM,11e,11,ENG,Derby Unitary Authority,Easterly lowlands (England),
YVWYWC,11e,11,ENG,Derbyshire,Easterly lowlands (England),
TBXJJD,12e,12,ENG,Nottinghamshire,Easterly lowlands (England),
ZTXKYJ,12e,12,ENG,Lincolnshire,Easterly lowlands (England),
QZUDIB,8e,8,ENG,Lincolnshire,Westerly lowlands (England),
BIHYSL,3e,3,ENG,Norfolk,Easterly lowlands (England),
TRVAVH,4e,4,ENG,Norfolk,Easterly lowlands (England),
MGWQSP,17w1,17,WAL,Gwynedd,Uplands (Wales),
JHPOHH,5w,41,WAL,Clwyd,Lowlands (Wales),
KBLGPE,18w,45,WAL,Clwyd,Uplands (Wales),
KXYDPJ,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
OADEXO,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
NNTSJE,12e,12,ENG,Lincolnshire,Easterly lowlands (England),
KUSXUZ,4e,4,ENG,Lincolnshire,Easterly lowlands (England),
JABGJY,17w3,19,WAL,Gwynedd,Uplands (Wales),
NERQMG,17w3,19,WAL,Clwyd,Uplands (Wales),
KNLBPI,15w,44,WAL,Clwyd,Lowlands (Wales),
UISYES,13e,13,ENG,Cheshire,Westerly lowlands (England),
WIMSDK,15e,14,ENG,Cheshire,Westerly lowlands (England),
PBKYNV,13e,13,ENG,Cheshire,Westerly lowlands (England),
EVVEDK,10e,10,ENG,Cheshire,Westerly lowlands (England),
DTXAJY,17e,16,ENG,Derbyshire,Uplands (England),
HVNJKY,17e,16,ENG,Derbyshire,Uplands (England),
XHCFPY,12e,12,ENG,Nottinghamshire,Easterly lowlands (England),
KNVXKN,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
IJFDGL,6w,42,WAL,Gwynedd,Lowlands (Wales),
UGOANK,6w,42,WAL,Gwynedd,Lowlands (Wales),
GCDFIO,7w,43,WAL,Gwynedd,Lowlands (Wales),
RTQIEV,5w,41,WAL,Clwyd,Lowlands (Wales),
MOJFPS,5w,41,WAL,Clwyd,Lowlands (Wales),
VJVJJJ,13e,13,ENG,Merseyside,Westerly lowlands (England),
VUJWHD,13e,13,ENG,Cheshire,Westerly lowlands (England),
ZCCYJT,18e,20,ENG,Derbyshire,Uplands (England),
MPESMQ,10e,10,ENG,South Yorkshire,Westerly lowlands (England),
JDKZQA,11e,11,ENG,Nottinghamshire,Easterly lowlands (England),
DOASNU,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
TJPYWU,12e,12,ENG,Lincolnshire,Easterly lowlands (England),
GQYNWE,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
FSSIYV,13e,13,ENG,Greater Manchester,Westerly lowlands (England),
VCQDRX,18e,20,ENG,South Yorkshire,Uplands (England),
NBXWRU,10e,10,ENG,South Yorkshire,Westerly lowlands (England),
VEQMNO,10e,10,ENG,South Yorkshire,Westerly lowlands (England),
OSGDGJ,9e,9,ENG,North Lincolnshire Unitary Authority,Easterly lowlands (England),
VIPXTV,9e,9,ENG,Lincolnshire,Easterly lowlands (England),
OOLGBN,16e,15,ENG,Greater Manchester,Westerly lowlands (England),
NQYHWK,17e,16,ENG,West Yorkshire,Uplands (England),
SURVKO,10e,10,ENG,West Yorkshire,Westerly lowlands (England),
YTLYLE,10e,10,ENG,West Yorkshire,Westerly lowlands (England),
JQKGAL,9e,9,ENG,North Lincolnshire Unitary Authority,Easterly lowlands (England),
SCQIDT,9e,9,ENG,North East Lincolnshire Unitary Authority,Easterly lowlands (England),
HHNXYQ,18e,20,ENG,Lancashire,Uplands (England),
VZNMFT,19e,21,ENG,West Yorkshire,Uplands (England),
XTIHBS,10e,10,ENG,West Yorkshire,Westerly lowlands (England),
KYFWMC,10e,10,ENG,East Riding of Yorkshire Unitary Authority,Westerly lowlands (England),
HGBYWJ,7e,7,ENG,East Riding of Yorkshire Unitary Authority,Westerly lowlands (England),
UCUYAE,16e,15,ENG,Lancashire,Westerly lowlands (England),
HCRUMQ,17e,16,ENG,Lancashire,Uplands (England),
IDAVFQ,9e,9,ENG,East Riding of Yorkshire Unitary Authority,Easterly lowlands (England),
VGSKFD,16e,15,ENG,Lancashire,Westerly lowlands (England),
EFAJGX,18e,20,ENG,Lancashire,Uplands (England),
COCEEQ,19e,21,ENG,Lancashire,Uplands (England),
BRBWRZ,19e,21,ENG,North Yorkshire,Uplands (England),
