Results,,,,,,,,,,
,,,,,,,,,,
"Qualitative valuation (score 1 (not important) - 10 (important), score -1 (negative effect))",Present,Future,Difference,,,,,,,
Global climate regulation - Carbon sequestration in soils,,,,,,,,,,
,,,,,,,,,,
Quantitative valuation,Unit,Present,,Future,,Difference,,,,
,,Low,High,Low,High,Low,High,,,
Global climate regulation - Carbon sequestration in soils,tonnes C / year,50.3,50.3,102.0,102.0,51.7,51.7,,,
,,,,,,,,,,
Monetary valuation,Unit,Difference future - present,,,,,,,,
,,Low,High,,,,,,,
Global climate regulation - Carbon sequestration in soils,€ / year,5165,18907,,,,,,,
Total,€ / year,5165,18907,,,,,,,
