Input data,,,,,,,,,,
,,,,,,,,,,
Name location,Mixed forests1,,,,,,,,,
,,,,,,,,,,
,Present,Future,,,,,,,,
Soil and topography,,,,,,,,,,
Soil profile development,a - soils with texture B horizon,a - soils with texture B horizon,,,,,,,,
Soil moisture,b - well drained soils (dry),b - well drained soils (dry),,,,,,,,
Soil texture,A - loam (85% loam),A - loam (85% loam),,,,,,,,
Gleysol (%),0,0,,,,,,,,
Retisol (%),0,0,,,,,,,,
Arenosol (%),0,0,,,,,,,,
Podzol (%),0,0,,,,,,,,
Anthrosol (%),0,0,,,,,,,,
Histosol (%),0,0,,,,,,,,
Peat (%),0,0,,,,,,,,
Slope (%),12,12,,,,,,,,
Average highest groundwaterlevel (cm below ground),118,118,,,,,,,,
Average lowest groundwaterlevel (cm below ground),150,150,,,,,,,,
Rainfall erosivity factor (MJ.mm/ha.year),829,829,,,,,,,,
Soil erodibility factor (ton.ha/MJ.mm),0.060028,0.060028,,,,,,,,
Topographic factor (LS),4-6,4-6,,,,,,,,
Management,,,,,,,,,,
Forest already present on the Ferraris maps (%),0,0,,,,,,,,
Fertilization (tonne C/ha.year),1.5,1.5,,,,,,,,
Privately managed forest (%),0,0,,,,,,,,
Other,,,,,,,,,,
Concentration PM10 (µg/m³),15.046749,,,,,,,,,
