Land use,,,,,,,,,,
,,,,,,,,,,
Name location,Mixed forests1,,,,,,,,,
,,,,,,,,,,
Surfaces per land use class in ha,,,,,,,,,,
,,,,,,,,,,
Land use,Present (ha),Future (ha),Buffer (ha),,,,,,,
Grasslands and tall herbs,0,0,5.37,,,,,,,
Woodland and forest,0,18.57,85.04,,,,,,,
Woodland and forest-Deciduous forests,0,0,63.7,,,,,,,
Woodland and forest-Deciduous forests-Birch,0,0,0,,,,,,,
Woodland and forest-Deciduous forests-Elm,0,0,0,,,,,,,
Woodland and forest-Deciduous forests-Common Ash,0,0,0,,,,,,,
Woodland and forest-Deciduous forests-Beech,0,0,0.96,,,,,,,
Woodland and forest-Deciduous forests-Oak,0,0,0.26,,,,,,,
Woodland and forest-Deciduous forests-Poplar-species,0,0,36.09,,,,,,,
"Woodland and forest-Deciduous forests-Alluvial forests (alder, willow, ...)",0,0,0,,,,,,,
Woodland and forest-Deciduous forests-Other deciduous or mix,0,0,26.39,,,,,,,
Woodland and forest-Coniferous forests,0,0,20.35,,,,,,,
Woodland and forest-Coniferous forests-Douglas fir,0,0,0.73,,,,,,,
Woodland and forest-Coniferous forests-Spruce,0,0,0.33,,,,,,,
Woodland and forest-Coniferous forests-Scots Pine,0,0,15.23,,,,,,,
Woodland and forest-Coniferous forests-European Larch,0,0,4.06,,,,,,,
Woodland and forest-Coniferous forests-Corsican pine,0,0,0,,,,,,,
Woodland and forest-Coniferous forests-Austrian pine,0,0,0,,,,,,,
Woodland and forest-Coniferous forests-Fir,0,0,0,,,,,,,
Woodland and forest-Coniferous forests-Other coniferous or mix,0,0,0,,,,,,,
Woodland and forest-Mixed forests,0,18.57,0.99,,,,,,,
Heathland and shrubs,0,0,1.25,,,,,,,
Heathland and shrubs-Heathland,0,0,0,,,,,,,
"Heathland and shrubs-Shrubs (gorse, buckthorn, furze, ...)",0,0,1.25,,,,,,,
Wetlands,0,0,0,,,,,,,
Wetlands-Inland wetlands,0,0,0,,,,,,,
Wetlands-Inland wetlands-Reed bed,0,0,0,,,,,,,
Wetlands-Inland wetlands-Other wetland vegetation,0,0,0,,,,,,,
Wetlands-Flat plains and marches,0,0,0,,,,,,,
Rivers and lakes,0,0,2.22,,,,,,,
Rivers and lakes-Lakes and large ponds,0,0,2.22,,,,,,,
Rivers and lakes-Rivers and smaller watercourses,0,0,0,,,,,,,
Cropland and meadows,18.57,0,378.83,,,,,,,
Cropland and meadows-Cropland,18.57,0,332.4,,,,,,,
Cropland and meadows-Cropland-Flax and hemp,0,0,11.17,,,,,,,
Cropland and meadows-Cropland-Potatoes,3.23,0,19.07,,,,,,,
Cropland and meadows-Cropland-Sugar beet,15.34,0,82.9,,,,,,,
"Cropland and meadows-Cropland-Vegetables, spices and ornamental plants",0,0,0.03,,,,,,,
"Cropland and meadows-Cropland-Vegetables, spices and ornamental plants-Ornamental plants",0,0,0,,,,,,,
"Cropland and meadows-Cropland-Vegetables, spices and ornamental plants-Zucchini/pumpkins",0,0,0,,,,,,,
"Cropland and meadows-Cropland-Vegetables, spices and ornamental plants-Herbs",0,0,0,,,,,,,
"Cropland and meadows-Cropland-Vegetables, spices and ornamental plants-Vegetables with low nutrient needs",0,0,0,,,,,,,
"Cropland and meadows-Cropland-Vegetables, spices and ornamental plants-Other vegetables and herbs",0,0,0.03,,,,,,,
"Cropland and meadows-Cropland-Vegetables, spices and ornamental plants-Vegetables group 1",0,0,0,,,,,,,
"Cropland and meadows-Cropland-Vegetables, spices and ornamental plants-Vegetables group 2",0,0,0,,,,,,,
"Cropland and meadows-Cropland-Vegetables, spices and ornamental plants-Vegetables group 3",0,0,0,,,,,,,
"Cropland and meadows-Cropland-Cerals, seeds and pulse",0,0,181.57,,,,,,,
"Cropland and meadows-Cropland-Cerals, seeds and pulse-Rapeseed",0,0,2.09,,,,,,,
"Cropland and meadows-Cropland-Cerals, seeds and pulse-Sunflower seed",0,0,0,,,,,,,
"Cropland and meadows-Cropland-Cerals, seeds and pulse-Other oilseeds",0,0,0,,,,,,,
"Cropland and meadows-Cropland-Cerals, seeds and pulse-Leguminosae",0,0,0,,,,,,,
