Results,,,,,,,,,,
,,,,,,,,,,
"Qualitative valuation (score 1 (not important) - 10 (important), score -1 (negative effect))",Present,Future,Difference,,,,,,,
Global climate regulation - Carbon sequestration in biomass,2.9,2.9,0.0,,,,,,,
,,,,,,,,,,
Quantitative valuation,Unit,Present,,Future,,Difference,,,,
,,Low,High,Low,High,Low,High,,,
Global climate regulation - Carbon sequestration in biomass,tonnes C / year,12.2,12.2,12.2,12.2,0.0,0.0,,,
,,,,,,,,,,
Monetary valuation,Unit,Difference future - present,,,,,,,,
,,Low,High,,,,,,,
Global climate regulation - Carbon sequestration in biomass,€ / year,0,0,,,,,,,
Total,€ / year,0,0,,,,,,,
