Results,,,,,,,
,,,,,,,
Results scenario,4USDA example_03,,,,,,
,,,,,,,
Name location,Lakes and large ponds2,,,,,,
,,,,,,,
"Qualitative valuation (score 1 (not important) - 10 (important), score -1 (negative effect))",Present,Future,Difference,,,,
Global climate regulation - Carbon sequestration in soils,,,,,,,
Global climate regulation - Carbon sequestration in biomass,1.0,1.0,0.0,,,,
,,,,,,,
Quantitative valuation,Unit,Present,,Future,,Difference,
,,Low,High,Low,High,Low,High
Global climate regulation - Carbon sequestration in soils,tonnes C / year,22.4,22.4,0.0,0.0,-22.4,-22.4
Global climate regulation - Carbon sequestration in biomass,tonnes C / year,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
Monetary valuation,Unit,Difference future - present,,,,,
,,Low,High,,,,
Global climate regulation - Carbon sequestration in soils,€ / year,-2237,-8188,,,,
Global climate regulation - Carbon sequestration in biomass,€ / year,0,0,,,,
Total,€ / year,-2237,-8188,,,,
,,,,,,,
,,,,,,,
Name location,Mixed forests1,,,,,,
,,,,,,,
"Qualitative valuation (score 1 (not important) - 10 (important), score -1 (negative effect))",Present,Future,Difference,,,,
Global climate regulation - Carbon sequestration in soils,,,,,,,
Global climate regulation - Carbon sequestration in biomass,1.0,8.0,7.0,,,,
,,,,,,,
Quantitative valuation,Unit,Present,,Future,,Difference,
,,Low,High,Low,High,Low,High
Global climate regulation - Carbon sequestration in soils,tonnes C / year,50.3,50.3,102.0,102.0,51.7,51.7
Global climate regulation - Carbon sequestration in biomass,tonnes C / year,0.0,0.0,9.7,9.7,9.7,9.7
,,,,,,,
Monetary valuation,Unit,Difference future - present,,,,,
,,Low,High,,,,
Global climate regulation - Carbon sequestration in soils,€ / year,5165,18907,,,,
Global climate regulation - Carbon sequestration in biomass,€ / year,975,3568,,,,
Total,€ / year,6140,22475,,,,
,,,,,,,
,,,,,,,
Name location,Remaining area,,,,,,
,,,,,,,
"Qualitative valuation (score 1 (not important) - 10 (important), score -1 (negative effect))",Present,Future,Difference,,,,
Global climate regulation - Carbon sequestration in soils,,,,,,,
Global climate regulation - Carbon sequestration in biomass,2.9,2.9,0.0,,,,
,,,,,,,
Quantitative valuation,Unit,Present,,Future,,Difference,
,,Low,High,Low,High,Low,High
Global climate regulation - Carbon sequestration in soils,tonnes C / year,188.2,188.2,188.2,188.2,0.0,0.0
Global climate regulation - Carbon sequestration in biomass,tonnes C / year,12.2,12.2,12.2,12.2,0.0,0.0
,,,,,,,
Monetary valuation,Unit,Difference future - present,,,,,
,,Low,High,,,,
Global climate regulation - Carbon sequestration in soils,€ / year,0,0,,,,
Global climate regulation - Carbon sequestration in biomass,€ / year,0,0,,,,
Total,€ / year,0,0,,,,
,,,,,,,
,,,,,,,
Name location,Summary,,,,,,
,,,,,,,
"Qualitative valuation (score 1 (not important) - 10 (important), score -1 (negative effect))",Present,Future,Difference,,,,
Global climate regulation - Carbon sequestration in soils,,,,,,,
Global climate regulation - Carbon sequestration in biomass,2.4,3.8,1.4,,,,
,,,,,,,
Quantitative valuation,Unit,Present,,Future,,Difference,
,,Low,High,Low,High,Low,High
Global climate regulation - Carbon sequestration in soils,tonnes C / year,260.9,260.9,290.2,290.2,29.3,29.3
Global climate regulation - Carbon sequestration in biomass,tonnes C / year,12.2,12.2,21.9,21.9,9.7,9.7
,,,,,,,
Monetary valuation,Unit,Difference future - present,,,,,
,,Low,High,,,,
Global climate regulation - Carbon sequestration in soils,€ / year,2928,10719,,,,
Global climate regulation - Carbon sequestration in biomass,€ / year,975,3568,,,,
Total,€ / year,3903,14287,,,,
