Biological value,,,,,,,
,,,,,,,
Biological value,Present,Future,,,,,
Biologically less valuable,70.6242406898,42.7658429698,,,,,
A complex of biologically less valuable and valuable elements,0,0,,,,,
"A complex of biologically less valuable, valuable and very valuable elements",0,0,,,,,
A complex of biologically less valuable and very valuable elements,0,0,,,,,
Biologically valuable,1.9497249257,21.2710275569,,,,,
A complex of biologically valuable and very valuable elements,0,8.5370950888,,,,,
Biologically very valuable,27.4260343845,27.4260343845,,,,,
,,,,,,,
Rareness,Present,Future,,,,,
Common,70.6242406898,62.1702316846,,,,,
Quite rare,15.9547303167,15.8716442331,,,,,
Rare,1.7415010427,10.2785961315,,,,,
Biologically very to extremely rare,11.6795279508,11.6795279508,,,,,
,,,,,,,
Biological quality,Present,Future,,,,,
Low quality,70.6242406898,42.7658429698,,,,,
High quality,1.9497249257,29.8081226457,,,,,
Very high quality,27.4260343845,27.4260343845,,,,,
,,,,,,,
Vulnerability,Present,Future,,,,,
Less vulnerable,71.6458602694,52.2414715547,,,,,
Vulnerable,16.9770281285,36.3814168432,,,,,
Very vulnerable,11.3771116021,11.3771116021,,,,,
,,,,,,,
Replaceability,Present,Future,,,,,
To some extent replaceable,71.6458602694,52.2414715547,,,,,
Less replaceable,14.9331107371,34.3374994518,,,,,
,13.4210289935,13.4210289935,,,,,
